idImagen,clase,rutaCudaBin,rutaCudaNpy,rutaCudaPng,alto,ancho,mediaCuda,desviacionCuda,minimoCuda,maximoCuda,tiempoSegundos,estado,error
11,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_11_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_11_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_11_cuda.png",128,128,0.08066071569919586,0.0828939825296402,0.0,0.5488591194152832,0.08467470000323374,ok,
12,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_12_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_12_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_12_cuda.png",128,128,0.10667959600687027,0.10976828634738922,0.0,0.6861714720726013,0.11719849999644794,ok,
13,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_13_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_13_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_13_cuda.png",128,128,0.11288079619407654,0.12012728303670883,0.0,0.765496015548706,0.11248300000443123,ok,
14,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_14_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_14_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_14_cuda.png",128,128,0.08614669740200043,0.09527736157178879,0.0,0.6081479787826538,0.11563729999761563,ok,
15,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_15_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_15_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_15_cuda.png",128,128,0.08773086220026016,0.08682066947221756,0.0,0.7513866424560547,0.09970120000070892,ok,
16,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_16_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_16_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_16_cuda.png",128,128,0.0992061048746109,0.10605009645223618,0.0,0.6869767308235168,0.09117260000493843,ok,
17,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_17_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_17_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_17_cuda.png",128,128,0.08105258643627167,0.08540138602256775,0.0,0.6488361358642578,0.10404120000021067,ok,
18,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_18_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_18_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_18_cuda.png",128,128,0.09095519781112671,0.1070200577378273,0.0,0.7490196228027344,0.10619149998819921,ok,
19,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_19_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_19_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_19_cuda.png",128,128,0.09194919466972351,0.09905444830656052,0.0,0.8178101181983948,0.11155329999746755,ok,
20,Bercak Daun,"\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaBin\Bercak Daun\imagen_20_cuda.bin","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaNpy\Bercak Daun\imagen_20_cuda.npy","\\DAMIAN\PCCompartir\Barahona,Chasipanta,Cañas_TallerFinal\salidas\cudaPng\Bercak Daun\imagen_20_cuda.png",128,128,0.08993516862392426,0.09265848994255066,0.0,0.6174102425575256,0.11978079999971669,ok,
