idImagen,clase,rutaOriginal,rutaNpy,rutaRaw,altoOriginal,anchoOriginal,canalesOriginales,pixelesOriginales,tamanoOriginalBytes,altoResize,anchoResize,pixelesResize,tamanoResizeBytes,relacionPixelesResize,media,desviacion,minimo,maximo,mediana,percentil25,percentil75,tiempoSegundos,indiceChunk,estado,error,procesosUsados,cantidadChunks,tamanoChunk,tiempoGlobalSegundos
567,Bercak Daun,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (93).JPG,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\npyCpu\Bercak Daun\imagen_567.npy,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\rawCuda\Bercak Daun\imagen_567_raw.bin,256,256,3,65536,16039,512,512,262144,262144,4.0,0.4686816334724426,0.11628378182649612,0.10588235408067703,0.9764705896377563,0.4470588266849518,0.3843137323856354,0.5333333611488342,0.07274370000232011,1,ok,,8,8,500,199.2215750000032
568,Bercak Daun,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (94).JPG,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\npyCpu\Bercak Daun\imagen_568.npy,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\rawCuda\Bercak Daun\imagen_568_raw.bin,256,256,3,65536,17551,512,512,262144,262144,4.0,0.47567427158355713,0.18309523165225983,0.0117647061124444,0.9843137264251709,0.47058823704719543,0.3764705955982208,0.6039215922355652,0.09567199999582954,1,ok,,8,8,500,199.2215750000032
569,Bercak Daun,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (95).JPG,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\npyCpu\Bercak Daun\imagen_569.npy,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\rawCuda\Bercak Daun\imagen_569_raw.bin,256,256,3,65536,18743,512,512,262144,262144,4.0,0.48478230834007263,0.16343283653259277,0.0117647061124444,0.9921568632125854,0.4901960790157318,0.364705890417099,0.615686297416687,0.05249480000929907,1,ok,,8,8,500,199.2215750000032
570,Bercak Daun,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (96).JPG,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\npyCpu\Bercak Daun\imagen_570.npy,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\rawCuda\Bercak Daun\imagen_570_raw.bin,256,256,3,65536,21844,512,512,262144,262144,4.0,0.4516967535018921,0.18249617516994476,0.003921568859368563,0.9960784316062927,0.43921568989753723,0.30980393290519714,0.5960784554481506,0.13692129999981262,1,ok,,8,8,500,199.2215750000032
571,Bercak Daun,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (97).JPG,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\npyCpu\Bercak Daun\imagen_571.npy,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\rawCuda\Bercak Daun\imagen_571_raw.bin,256,256,3,65536,20139,512,512,262144,262144,4.0,0.446545273065567,0.2200583964586258,0.003921568859368563,0.9960784316062927,0.45490196347236633,0.24313725531101227,0.6431372761726379,0.06959009999991395,1,ok,,8,8,500,199.2215750000032
572,Bercak Daun,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (98).jpg,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\npyCpu\Bercak Daun\imagen_572.npy,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\rawCuda\Bercak Daun\imagen_572_raw.bin,256,256,3,65536,13419,512,512,262144,262144,4.0,0.36129888892173767,0.09485149383544922,0.04313725605607033,0.8078431487083435,0.3607843220233917,0.30588236451148987,0.4117647111415863,0.09239929998875596,1,ok,,8,8,500,199.2215750000032
573,Bercak Daun,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (99).JPG,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\npyCpu\Bercak Daun\imagen_573.npy,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\rawCuda\Bercak Daun\imagen_573_raw.bin,256,256,3,65536,18450,512,512,262144,262144,4.0,0.494693785905838,0.16440874338150024,0.0235294122248888,1.0,0.4745098054409027,0.37254902720451355,0.6078431606292725,0.11103649999131449,1,ok,,8,8,500,199.2215750000032
574,Bercak Daun,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\augmented_Corn_Gray_Spot (149).JPG,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\npyCpu\Bercak Daun\imagen_574.npy,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\rawCuda\Bercak Daun\imagen_574_raw.bin,256,256,3,65536,18981,512,512,262144,262144,4.0,0.5390511155128479,0.21712957322597504,0.019607843831181526,1.0,0.5372549295425415,0.3764705955982208,0.6941176652908325,0.09240140000474639,1,ok,,8,8,500,199.2215750000032
575,Bercak Daun,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\augmented_Corn_Gray_Spot (150).JPG,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\npyCpu\Bercak Daun\imagen_575.npy,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\rawCuda\Bercak Daun\imagen_575_raw.bin,256,256,3,65536,18723,512,512,262144,262144,4.0,0.5636398196220398,0.11499251425266266,0.09803921729326248,0.9843137264251709,0.5607843399047852,0.4941176474094391,0.6352941393852234,0.07639450000715442,1,ok,,8,8,500,199.2215750000032
576,Bercak Daun,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\augmented_Corn_Gray_Spot (151).jpg,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\npyCpu\Bercak Daun\imagen_576.npy,C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\salidas\rawCuda\Bercak Daun\imagen_576_raw.bin,256,256,3,65536,16834,512,512,262144,262144,4.0,0.48402318358421326,0.1462223082780838,0.03921568766236305,0.9882352948188782,0.45490196347236633,0.3803921639919281,0.5568627715110779,0.07911620000959374,1,ok,,8,8,500,199.2215750000032
