clase,cantidadImagenes,altoOriginalPromedio,anchoOriginalPromedio,tamanoOriginalMbPromedio,tamanoResizeKbPromedio,mediaPromedio,desviacionPromedio,tiempoPromedioSegundos
Bercak Daun,1000,281.772,295.812,0.03218952941894531,256.0,0.504760731831193,0.15753409595042467,0.08996327350000502
Daun Sehat,1000,3914.56,3365.44,1.7818617839813233,256.0,0.5603178559541703,0.18186540474742652,0.3493067340005655
Hawar Daun,1000,4090.32,3189.68,1.5461848182678222,256.0,0.6048952841162681,0.14426119872555138,0.3456941035996424
Karat Daun,1000,4071.6,3208.4,1.8755059776306153,256.0,0.5679792231023312,0.17207067158073186,0.3521867407002719
